name;priceDM;sale_price;picture;product_category;sku
Детский крем Умкa увлажняющий 100мл;1 190 ₸;1 069 ₸;https://static.detmir.st/media_out/871/764/1764871/450/0.jpg?1666152017478;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1764871
Крем-эмолент Лапочка 75мл 52827;1 029 ₸;919 ₸;https://static.detmir.st/media_out/270/255/3255270/450/0.jpg?1652264524804;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3255270
Средство для уборки Meine Liebe 500 мл;1 939 ₸;1 939 ₸;https://static.detmir.st/media_pim/249/002/3002249/450/0.jpg?1678371449030;Детский мир>Гигиена и уход>Бытовая химия детская;3002249
Детский крем Умкa успокаивающий 100мл;990 ₸;889 ₸;https://static.detmir.st/media_out/861/764/1764861/450/0.jpg?1666152017508;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1764861
Кондиционер для детского белья Meine Liebe 500мл ML31186;1 590 ₸;1 109 ₸;https://static.detmir.st/media_out/566/094/5094566/450/0.jpg?1664943014811;Детский мир>Гигиена и уход>Бытовая химия детская;5094566
Масло для тела Baby line The Original 250мл;3 590 ₸;3 229 ₸;https://static.detmir.st/media_pim/186/793/3793186/450/0.jpg?1678871185247;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3793186
Соль для ванн DR.TUTTELLE морская с ромашкой 500г;1 390 ₸;1 249 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4246139
Крем Детский легкий увлажняющий 75мл;639 ₸;569 ₸;https://static.detmir.st/media_out/721/035/35721/450/0.jpg?1652261101366;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;35721
Cредство для стирки AQA baby жидкое антибактериальное 1000мл 2016104;3 289 ₸;3 289 ₸;https://static.detmir.st/media_pim/188/422/3422188/450/0.jpg?1678374911196;Детский мир>Гигиена и уход>Бытовая химия детская;3422188
Гель для посуды Meine Liebe мелисса и лемонграсс 500мл;909 ₸;719 ₸;https://static.detmir.st/media_pim/738/292/3292738/450/0.jpg?1678367243690;Детский мир>Гигиена и уход>Бытовая химия детская;3292738
Сбор для купания AQA baby Сладкий сон травяной 400мл;2 849 ₸;2 049 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3188512
Средство моющее Meine Liebe с дезинфицирующим эффектом 300г;1 689 ₸;1 689 ₸;https://static.detmir.st/media_pim/206/477/3477206/450/0.jpg?1678371468867;Детский мир>Гигиена и уход>Бытовая химия детская;3477206
Крем Моё солнышко детский Пантенол 100 мл;1 690 ₸;1 690 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;699881
Гель Моё солнышко для подмывания младенцев c календулой 200 мл;1 190 ₸;1 190 ₸;https://static.detmir.st/media_out/671/035/35671/450/0.jpg?1652261101057;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;35671
Ополаскиватель AQA baby антибактериальный 700мл 2016201;2 197 ₸;2 197 ₸;https://static.detmir.st/media_pim/189/422/3422189/450/0.jpg?1678374924758;Детский мир>Гигиена и уход>Бытовая химия детская;3422189
Масло-спрей Моё солнышко с алоэ 200 мл;1 690 ₸;1 690 ₸;https://static.detmir.st/media_pim/801/709/1709801/450/0.jpg?1678871276348;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1709801
Кондиционер для детских вещей DR.TUTTELLE 1л DT027;6 490 ₸;5 839 ₸;https://static.detmir.st/media_out/344/257/4257344/450/0.jpg?1652264661068;Детский мир>Гигиена и уход>Бытовая химия детская;4257344
Крем-гель для купания Лапочка 300мл с 0месяцев 36256;1 289 ₸;1 289 ₸;https://static.detmir.st/media_out/629/108/3108629/450/0.jpg?1652264502793;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3108629
Крем-гель для купания AQA baby для малыша 250мл 02011107;1 939 ₸;1 549 ₸;https://static.detmir.st/media_pim/504/188/3188504/450/0.jpg?1671112341978;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3188504
Бальзам-помада для губ Моё солнышко Ваниль 2.8 г;419 ₸;419 ₸;https://static.detmir.st/media_out/671/404/2404671/450/0.jpg?1657944280729;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;2404671
Средство для полов Meine Liebe чистящее антибактериальное 750мл;1 689 ₸;1 689 ₸;https://static.detmir.st/media_pim/070/286/3286070/450/0.jpg?1678372391356;Детский мир>Гигиена и уход>Бытовая химия детская;3286070
Гель Little Siberica для подмывания мальчиков 250мл;3 190 ₸;1 909 ₸;https://static.detmir.st/media_pim/856/960/4960856/450/0.jpg?1677754512382;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4960856
Крем DR.TUTTELLE для чувствительной и сухой кожи 125мл DT088;3 190 ₸;3 190 ₸;https://static.detmir.st/media_out/153/847/4847153/450/0.jpg?1655266181604;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4847153
Средство для мытья поверхностей AQA baby с антибактериальным эффектом 500мл 02016404;1 419 ₸;1 419 ₸;https://static.detmir.st/media_pim/287/335/3335287/450/0.jpg?1678370615648;Детский мир>Гигиена и уход>Бытовая химия детская;3335287
